Acls,Section,Permission
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]12e6850d-3e81-46b5-aa92-1fd2321545b1,Inventory,CloudFront Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]b291d4a2-3caa-403e-8016-2ef6c5631fa1,Inventory,List of CloudFront Distributions
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]4353d28d-0b2b-46e0-8aaa-6938f2f7ec0f,Inventory,CloudSearch Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]69640b4d-74b8-4198-b132-70c4c8939aa2,Inventory,List of CloudSearch Domains
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]dd20e6ab-2c62-4d8e-accf-38f56992c5e5,Inventory,Data Pipeline Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]5f28af89-4e7e-4bd3-8415-8dc7dcf8fa9d,Inventory,List of Data Pipes
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]90e0f36b-09fe-4ec3-aa79-2948673c8bec,Inventory,DynamoDB Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]2762ac86-1d38-49f9-bb84-fdd5f5123d4d,Inventory,List of DynamoDB Tables
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]449eb895-29d2-446a-bd50-80147f077a63,Inventory,ElastiCache Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]f15954c0-c770-4102-8e5f-9077149ade00,Inventory,List of ElastiCache Clusters
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]c4720e3b-1164-431f-991e-76cbe2acda10,Inventory,List of ElastiCache Nodes
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]568c944c-88f7-453f-9dc1-c94ac2d25329,Inventory,Elastic Beanstalk Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]b3b44b5b-9183-4abb-9dda-88785592b551,Inventory,List of Elastic Beanstalk Applications
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]a500cc5f-4ea3-47dc-a7e5-520c2a08876f,Inventory,Elastic MapReduce Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]4404e601-bd7e-4c4d-8c26-fbb8ac7f6bb4,Inventory,List of Elastic MapReduce Clusters
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]cca4ec76-0b64-4f5c-b245-b5102c75e7a6,Inventory,Glacier Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]b28f1276-7578-4828-8199-9bb6788c9fd6,Inventory,List of Glacier Vaults
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]f861e99f-f695-4a06-8595-df6a4a209a2e,Inventory,Identity and Access Management (IAM) Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]5531a753-a64d-43e8-8d8b-191157c13b4e,Inventory,List of IAM Users
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]4689fcd9-b048-411f-a55f-a073effdc033,Inventory,List of IAM Groups
