Acls,Section,Permission
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]f0679ff6-3793-459b-813a-9788a90dad33,Inventory,List of Users
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]85b615cf-267b-4962-8943-4fa89ab6e407,Inventory,Licenses Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]091c169f-0ffd-4a40-8c74-f1b8942dd1d9,Inventory,List of Licenses
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]000a75ec-526e-4364-ada2-79e6a67fcf8b,Inventory,Activity by User
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]4f77df06-7682-488d-9101-dd8870694251,Inventory,Activity by User
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]03fc756e-7e19-44ea-A6c3-8645298ccb28,Inventory,Overall Usage
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]a0c2e399-9846-4e26-8522-0f41914f0422,Inventory,Activity by User
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]e0dc4ee7-7ff0-4277-8d18-274c1903800a,Inventory,Device Usage by User
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]d69ff23f-8d32-4b31-ba8e-ed4a391f85d6,Inventory,Activity by User
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]1bc0bf1c-a734-4b4c-b40d-558a244619c8,Inventory,Activity by User
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]e98493e3-f295-49ff-a7f1-a655b2c986b0,Inventory,Usage by User
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]833c2a9e-3031-4237-a634-97e25a88aa13,Inventory,Activity by User
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]5b67be00-a50b-43a9-8049-c8f6e6a0ad00,Inventory,Overall Usage
