Acls,Section,Permission
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]6235f6a3-d862-466a-a03d-4567abd6f183,Security,Redshift Security Group Summary
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]ea67f344-dace-4042-9d6f-7d751f220545,Security,List of Redshift Security Groups
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]41b679be-678d-4459-8aa6-aa9bc284a9bb,Security,ElastiCache Security Group Summary
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]16d86c5a-aa2a-457e-af98-be1bae76d444,Security,List of ElastiCache Security Groups
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]637cd1c4-eba1-4f0d-9ac8-d94dbb09e179,Security,Perimeter Assessment
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]a46119ae-59e6-4a1e-a90c-f676470721ec,Security,List of IAM Admin Users
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]bf8e1359-64b7-44d4-971e-b4c1335643cb,Security,Change Monitoring
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]06f8005e-276e-4ca6-bfa5-a9056ba27fe2,Security,Security Permissions
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]d65d69d4-5b4d-4469-be1a-6fa792eaea03,Security,CloudWatch Logs - Define Events
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]f277acbb-2236-4f94-87f6-be4915758201,Security,CloudWatch Logs - View Results
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]8617045a-a1ba-4882-a715-43780da6cb42,Security,CloudWatch Logs Setup
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]d8416e69-9d35-43bb-b2b4-2eed3e93e7a3,Security,CloudWatch Logs Summary
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]777d1e61-40b9-40b0-9231-23b78fe7d06b,Security,VPC Flow Logs - Summary
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]777015b4-0db8-4a4d-b829-9a1dc2547c6f,Security,VPC Flow Logs - Connections
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]73b1d4f7-1959-4664-ae23-31ecd53b56a2,Security,VPC Flow Logs - Events
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]a0228019-9de9-4a94-9d5c-c91ac9d8313f,Security,VPC Flow Logs - Setup
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]887bbbb3-44b5-4364-8c75-9f1bd945154a,Security,S3 Encryption Details
736d397f-22b3-4aef-910c-2bf4e3b7354e[CC_Delimiter]56287889-494e-4b78-90c9-e7be2ab49a65,Compliance,CIS Benchmark
736d397f-22b3-4aef-910c-2bf4e3b7354e[CC_Delimiter]cd261ab5-3d5e-48cd-919e-d5e6b9f345e4,Compliance,Total Compliance
