Acls,Section,Permission
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]c4a875c6-ae1f-4ab9-87cf-e070de6e15b6,Inventory,RDS Snapshot Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]fd05739d-dcaa-4fc3-99c7-95cfca9c64d0,Inventory,List of RDS Snapshots
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]d59cb02f-bf2a-45e4-9063-a2414b2acd07,Inventory,Certificate Manager (ACM) Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]dbb327e9-f007-48fb-a312-c48778cf1a14,Inventory,List of ACM Certificates
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]6b4d66f8-0de3-480f-bdf2-12ca844ace21,Inventory,CloudFormation Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]de28e4f7-cdae-41ad-be31-3159aa30c8c6,Inventory,List of CloudFormation Stacks
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]4d07aad9-c454-44a9-97ff-b159f668f04b,Inventory,CloudFront Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]1e010ed0-193c-48ae-ac18-184c16265283,Inventory,List of CloudFront Distributions
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]a1944c19-46de-49e9-bf7d-149b1da22024,Inventory,CloudSearch Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]22cfd335-8411-4efc-9b16-3ccbae9d0bea,Inventory,List of CloudSearch Domains
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]abb4fe06-ea26-4f88-8d18-e2e0449472d8,Inventory,Data Pipeline Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]d90bbeb5-b8fb-46cc-a647-0ada84848841,Inventory,List of Data Pipes
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]5367a962-29ce-4420-aba6-b695d500b7cc,Inventory,DynamoDB Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]65c349e2-2149-48f9-926e-32f76451065a,Inventory,List of DynamoDB Tables
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]6d454e73-4624-4938-9e13-550dbde8f8ca,Inventory,ElastiCache Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]7c9c37a0-aae4-4f5f-813c-ac3ec27bd15e,Inventory,List of ElastiCache Clusters
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]bcf6dabc-f4bf-4bed-b88e-976f4d7e91f9,Inventory,List of ElastiCache Nodes
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]d21333cd-c512-4636-95f1-9b7d88f4c066,Inventory,Elastic Beanstalk Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]f188574b-871e-44fc-82e5-0a4b4931220c,Inventory,List of Elastic Beanstalk Applications
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]252f7959-8fd6-48f1-80fb-fe3f2dbf959d,Inventory,Elastic MapReduce Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]711c6fc3-c4cc-42c0-ab14-7172fce7de8d,Inventory,List of Elastic MapReduce Clusters
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]9f071ae0-7a27-47cf-8d50-cbcbfac128ce,Inventory,Glacier Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]f73a4a40-cecb-4e90-8b86-2d2ccb50d1c8,Inventory,List of Glacier Vaults
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]00e32e57-2d6d-41c8-8f4f-3bfba67fb010,Inventory,Identity and Access Management (IAM) Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]e3d06dc5-3cb2-4be9-ae15-65abb69cf9c1,Inventory,List of IAM Users
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]948f5c84-88d8-4819-9fc3-662545ab706b,Inventory,List of IAM Groups
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]a226d460-173c-48b4-bdd2-1070d392c862,Inventory,List of IAM Roles
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]f9fde4a6-f7e1-4c73-b9ea-1b2c6193ce55,Inventory,List of IAM Policies
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]e18e5f91-66f2-4212-afb9-cd0690ce971b,Inventory,List of Open ID Connect Providers
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]e6b040f5-18ed-47e5-b761-23ff1120352a,Inventory,List of SAML Providers
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]715062af-5232-4b41-9374-cd107054f956,Inventory,List of Virtual MFA Devices
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]c2488ef5-1bcb-4394-87c6-6032659b34c5,Inventory,Kinesis Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]e121808b-b928-4fe9-988a-69fbc2aaeec7,Inventory,List of Kinesis Streams
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]636742fc-1097-47c4-9877-29c3ca4b2cb2,Inventory,Key Management Service (KMS) Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]d7b75d70-d34f-424e-b023-7b5de5047fcd,Inventory,List of KMS Keys
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]507ae9fd-2ecb-488b-b587-d1764fe211ab,Inventory,Lambda Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]36589f91-9df2-48dc-a024-41ae5051e123,Inventory,List of Lambda Functions
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]e4bd955f-3f36-4213-a393-0a9afb680df6,Inventory,Redshift Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]89ae5642-7d10-40e4-ae0c-10191cfac79b,Inventory,List of Redshift Clusters
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]111eca8a-a0e5-4c73-8400-98dd536dee71,Inventory,Route53 Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]45ccdf7d-f92e-48c8-baf6-81831c272ffd,Inventory,List of Route53 Hosted Zones
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]f19712c8-8283-436e-956b-5625dd992b63,Inventory,List of Route53 Health Checks
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]d3ef0773-5054-4948-b341-be2d44357d1f,Inventory,Simple Email Service (SES) Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]22ce591f-5dc7-4d60-82a9-15204836fc51,Inventory,Simple Domain Service (SES) Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]52178566-f615-40c6-b42a-4db0be8922f7,Inventory,List of SES Emails
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]9a807244-42af-4936-b780-4688e66e1f6a,Inventory,List of SES Domains
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]1722f34d-0e53-4efc-8516-3d686c4724f5,Inventory,SimpleDB Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]8965afd6-69d0-4e11-9b0b-af5ad255d7a5,Inventory,List of SimpleDB Domains
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]4d08f648-7778-4395-b203-b7ddac0cde81,Inventory,Simple Queue Service (SQS) Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]e1d62cd6-8e1a-43a8-8786-550082967d7d,Inventory,List of SQS Queues
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]91d65b74-7d80-4737-bd18-1d0192b0cea7,Inventory,Storage Gateway Summary
